original_ticker,yahoo_ticker,reason
LSEl_EQ,LSEG.L,Ticker change (LSE → LSEG)
SLl_EQ,ABDN.L,Ticker change (SL → ABDN)
PHNXl_EQ,SDLF.L,Ticker change (PHNX → SDLF)
RBl_EQ,RKT.L,Ticker change (RB → RKT)
RBSl_EQ,NWG.L,Ticker change (RBS → NWG)
GVCl_EQ,ENT.L,Ticker change (GVC → ENT)
BTl_EQ,BT-A.L,Special suffix (BT → BT-A)
BDEVl_EQ,BTRW.L,Ticker change (BDEV → BTRW)
ICPl_EQ,ICG.L,Ticker change (ICP → ICG)
FB_US_EQ,META,Company rename (Facebook → Meta)
SZZL_US_EQ,CRML,Ticker change (SZZL → CRML)
VACQ_US_EQ,RKLB,SPAC merger (VACQ → RKLB)
OAC_US_EQ,HIMS,SPAC merger (OAC → HIMS)
IPOE_US_EQ,SOFI,SPAC merger (IPOE → SOFI)
DMYI_US_EQ,IONQ,SPAC merger (DMYI → IONQ)
IPXX_US_EQ,USAR,SPAC merger (IPXX → USAR)
SV_US_EQ,SMR,Ticker change (SV → SMR)
NPA_US_EQ,ASTS,SPAC merger (NPA → ASTS)
UTX_US_EQ,RTX,Corporate split/merger (UTX → RTX)
SNII_US_EQ,RGTI,Ticker change (SNII → RGTI)
BSGA_US_EQ,BTDR,SPAC merger (BSGA → BTDR)
GNPK_US_EQ,RDW,SPAC merger (GNPK → RDW)
JBSAY_US_EQ,JBS,ADR code simplification (JBSAY → JBS)
FPp_EQ,TTE.PA,Company rename (FP → TTE)
DAId_EQ,MBG.DE,Company rename (DAI → MBG)
NTOd_EQ,NTO.MU,Exchange suffix anomaly (expected .DE, got .MU)
2DGd_EQ,2DG.F,Exchange suffix anomaly (expected .DE, got .F)
FLUIes_EQ,FDR.MC,Ticker change (FLUI → FDR)
